sent_idx,source_tokens,prediction_tokens,tag
1755,"['@username', 'suy nghĩ', 'ko', 'sạch sẽ', 'v', 'nó', 'dơ', 'chỗ', 'nào', '<unk>']","['@username', 'suy nghĩ', 'không', 'sạch sẽ', 'vậy', 'nó', 'dơ', 'chỗ', 'nào', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T']"
1755,"['bu lu', 'bu', 'la', 'ở', 'tội', 'a', 'thế', 'đồ', 'ấy', 'hả', '樂', 'ngta', 'cmt', '1', 'dòng', 'mà', 'đi', 'cmt', 'lại', '3', 'dòng', 'hỉu', 'rồi', 'fans', '@username', 'ko', 'phân biệt', 'độ', 'tuổi', 'có thể', 'kết luận', 'là', 'trẩu']","['bù lu', 'bù', 'là', 'ở', 'tội', 'anh', 'thế', 'đồ', 'ấy', 'hả', 'người', 'ta cm', 't 1', 'dòng', 'mà', 'đi', 'cm', 't lại', '3', 'dòng', 'hiểu', '<space><space> rồi', 'fan', '@', 'username không', 'phân', 'biệt độ', 'tuổi', 'có', 'thể kết', 'luận là', 'tr', 'ẩu']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T']"
1756,"['qua', 'vn', 'phát ngôn', 'câu', 'đó', 'thì', 'đkm', 'xác định', 'khỏi', 'về', '<unk>']","['qua', 'việt nam', 'phát ngôn', 'câu', 'đó', 'thì', 'đkm', 'xác định', 'khỏi', 'về', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O']"
1757,"['cô', 'hieu', 'ncv', 'vui', 'quá']","['cô', 'hiểu<space>', 'nước chuyện<space>', 'vui', 'quá']","['O', 'O', 'O', 'O', 'O']"
1758,"['và', 'chúng nó', 'gọi', 'đó', 'là', 'đẳng cấp']","['và', 'chúng nó', 'gọi', 'đó', 'là', 'đẳng cấp']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1759,"['9x5', '=', '55', 'chứ', 'ôg', 'a', 'già', '<unk>']","['9x5', '=', '55', 'chứ', 'ông<space>', '<space>', 'già', '<unk>']","['O', 'O', 'O', 'O', 'O']"
1760,"['cho', 'vang']","['cho', 'vàng']","['O', 'O']"
1761,"['chạyyyy', 'nhanhhh', 'điii']","['chạy<space><space>', 'nhanhhh', 'đi<space>']","['O', 'O', 'O']"
1762,"['@username', 'mình', 'ăn', 'thịt', 'mà', 'có', 'ăn', 'rau', 'mấy', 'đâu']","['@username', 'mình', 'ăn', 'thịt', 'mà', 'có', 'ăn', 'rau', 'mấy', 'đâu']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1763,"['@username', 'giờ', 'cmt', 'ảnh', 'này', 'là', 'bị', 'ban', 'chết', 'me', 'đấy', 'ông', 'ạ', ':v']","['@username', 'giờ', 'cmt', 'ảnh', 'này', 'là', 'bị', 'ban', 'chết', 'mẹ', 'đấy', 'ông', 'ạ', ':v']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O']"
1764,"['cô', 'minh', 'hiếu', 'mà', 'hết', 'thời', 'là', 'mày', 'cũng', 'hết', 'đường', 'làm ăn', 'luôn', 'nha', 'con', 'bóng', 'đồng tháp', 'bán', 'dồ', 'giả']","['cô', 'mình', 'hiếu', 'mà', 'hết', 'thời', 'là', 'mày', 'cũng', 'hết', 'đường', 'làm ăn', 'luôn', 'nha', 'còn', 'bóng', 'đồng tháp', 'bán', 'đồ<space>', 'giả']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'I-T']"
1765,"['nq', 'nỗi', 'tiếng', 'koa', 'tiền', '..', 'ở truồng', 'cũng', 'nói', 'sang', '..', 'nq', 'bình thường', 'mặc', 'đồ', 'đẹp', 'mắc', 'tky', 'cũng', 'cho', 'la', 'hàq', 'dạt', 'rẻ tiền', '..', 'đúq', 'là', 'đời']","['n quốc', 'nổi', 'tiếng', 'tiền', '..', 'ở', 'chuồng cũng', 'nói', 'sang', '..', 'nhưng', 'quốc bình', 'thường mặc', 'đồ', 'đẹp', 'mắc', 'biết', '<space> cũng', 'cho', 'là', 'hà', 'quốc đạt', '<space> rẻ', 'tiền ..', 'đúng', '<space><space> là', 'đời']","['O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1766,"['xem', 'hay', 'mà', ',', 'cả', 'phim', 'sẽ', 'có', '1đoạn', 'mà', 'tim', 'thép', 'cũng', 'phải', 'giật mình']","['xem', 'hay', 'mà', ',', 'cả', 'phim', 'sẽ', 'có', '1đ<space><space><space>', 'mà', 'tìm', 'sắt', 'cũng', 'phải', 'giật mình']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1767,"['quốc rym', 'làm', 'bằng', 'thép', 'việt', 'nhật', '.']","['quốc rym', 'làm', 'bằng', 'sắt', 'việt', 'nhật', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1768,"['có', 'tiền', 'cứ', 'làm', ',', 'chỉ', 'có', 'bọn', 'không', 'có', 'tiền', 'làm', 'mới', 'ý kiến', 'lọ', 'chai']","['có', 'tiền', 'cứ', 'làm', ',', 'chỉ', 'có', 'bọn', 'không', 'có', 'tiền', 'làm', 'mới', 'ý kiến', 'lọ', 'chai']","['O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T']"
1769,"['@username', 'hậu', 'hoàng', 'đó', '!', '浪']","['@username', 'hậu', 'hoàng', 'đó', '!', '<space>']","['O', 'O', 'O', 'O', 'O']"
1770,"['nhok lầy', 'cái', 'nick', 'thì', 'clone', ',', 'avatar', 'thì', 'đéo', 'dám', 'để', 'ảnh', 'thật', ':v', 'gáy', 'cũng', 'kinh', 'đấy', '!', 'thằng', 'trẻ con', 'vô', 'văn hoá', '!']","['nhốc lầy', 'cái', 'nick', 'thì', 'cloe', ',', 'avatar', 'thì', 'đéo', 'dám', 'để', 'ảnh', 'thật', ':v', 'gáy', 'cũng', 'kinh', 'đấy', '!', 'thằng', 'trẻ con', 'vô', 'văn hoá', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T']"
1771,"['mẹ', 'nó', 'sắp', 'đc', 'húp', 'mà', 'cứ', 'live', 'cc']","['mẹ', 'nó', 'sắp', 'được<space>', 'húp', 'mà', 'cứ', 'live', 'cc']","['B-T', 'I-T', 'O', 'O', 'B-T', 'O', 'O', 'O', 'B-T']"
1772,"['bại', 'cái', 'đcm', 'm', 'cút', 'qc', 'cl', 'mày', 'đa cấp', 'lừa đảo', 'à', '<unk>', '<unk>', 'đm', 'con', 'yến']","['bại', 'cái', 'đcm', 'm', 'cút', 'quảng<space>', 'cái', 'mày', 'đa cấp', 'lừa đảo', 'à', '<unk>', '<unk>', 'đm', 'con', 'yến']","['O', 'O', 'B-T', 'I-T', 'B-T', 'O', 'B-T', 'B-T', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'B-T', 'B-T', 'O']"
1773,"['oke', 'thầy', '!']","['oke', 'thầy', '!']","['O', 'O', 'O']"
1774,"['kể ra', 'ví', 'mặt', 'con', 'này', 'với', 'con', 'linh cẩu', 'ăn', 'xác', 'thối', 'ở', 'châu phi', 'cũng', 'là', 'xúc phạm', 'linh cẩu', '.']","['kể ra', 'ví', 'mặt', 'con', 'này', 'với', 'con', 'linh cẩu', 'ăn', 'xác', 'thối', 'ở', 'châu phi', 'cũng', 'là', 'xúc phạm', 'linh cẩu', '.']","['O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O']"
1774,"['nhưng', 'thấy', 'nó', 'cũng', 'giống', 'thật', '.']","['nhưng', 'thấy', 'nó', 'cũng', 'giống', 'thật', '.']","['O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O']"
1774,"['tên', 'em', 'là', '@username', 'không', 'phải', 'cá lóc', 'nha']","['tên', 'em', 'là', '@username', 'không', 'phải', 'cá lóc', 'nha']","['O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O']"
1775,"['con', 'chó', 'còn', 'có', 'ý thức', '....']","['con', 'chó', 'còn', 'có', 'ý thức', '....']","['O', 'B-T', 'O', 'O', 'O', 'O']"
1776,"['ở', '@username', 'cũng', 'thế', 'chăng', '@username']","['ở', '@username', 'cũng', 'thế', 'nhỉ', '@username']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1777,"['con', 'lon', 'giả']","['con', 'lồn', 'giả']","['B-T', 'I-T', 'I-T']"
1778,"['@username', 'ưng', 'vcc', 'mà']","['@username', '<space><space>', 'vcc', 'mà']","['O', 'O', 'O', 'B-T', 'O']"
1779,['với'],['với'],['O']
1780,"['xem', 'chục', 'lần', 'r', 'vẩn', 'cười']","['xem', 'chục', 'lần', 'rồi', 'vẩn', 'cười']","['O', 'O', 'O', 'O', 'O', 'O']"
1781,"['@username', 'phục', 'cái', 'máu', 'lồn']","['@username', 'phục', 'cái', 'máu', 'lồn']","['O', 'O', 'O', 'O', 'O', 'B-T', 'I-T']"
1782,"['tởm', '...........']","['tởm', '..']",['B-T']
1783,"['thật', 'là', 'vãi', 'lol', 'a', 'ơi']","['thật', 'là', 'vãi', 'lol', 'anh', 'ơi']","['O', 'O', 'B-T', 'I-T', 'O', 'O']"
1784,"['bưng', 'bô', 'cho', 'tàu']","['bưng', 'bô', 'cho', 'tàu']","['O', 'O', 'O', 'O']"
1785,"['cai', 'du', 'ma', 'deo', 'bit', 'dang', 'song', 'trong', 'cai', 'thoi', 'ky', 'gi', ',', 'ma', 'lam', 'alibaba', 'the', 'ko', 'bit']","['cái', 'dù', 'mà', 'đeo<space>', 'biết', 'đang<space>', 'sống', 'trong', 'cái', 'thời gian', 'ký', 'gì', ',', 'mà', 'làm<space>', 'alibaba', 'thế', 'không', 'biết']","['O', 'B-T', 'I-T', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O']"
1786,"['lần', 'nào', 'cũng', 'đưa', 'con', 'robot', 'này', 'lên', 'bìa', 'mặt', 'báo', '<unk>']","['lần', 'nào', 'cũng', 'đưa', 'con', 'robot', 'này', 'lên', 'bìa', 'mặt', 'báo', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1787,"['ngta', 'bán', 'để', 'kím', 'sống', '..', 'tụi', 'm', 'lấy', 'hết', 'thì', 'hỏi', 'sao', 'lại', 'có', 'trộm cắp', 'ở', 'đây', '..', 'lũ', 'óc', 'chó']","['người ta', 'bán', 'để', 'kiếm<space>', 'sống', '..', 'tụi', 'mày', 'lấy', 'hết', 'thì', 'hỏi', 'sao', 'lại', 'có', 'trộm cắp', 'ở', 'đây', '..', 'lũ', 'óc', 'chó']","['O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'B-T', 'I-T', 'I-T']"
1788,"['óc', 'chó', 'kiểu', '<unk>y', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","['óc', 'chó', 'kiểu', '<unk>y', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","['B-T', 'I-T', 'O', 'O']"
1789,"['kính', 'gửi', '@username', ',', 'ngài', 'nên', 'học', 'cách', 'sống', 'đế vương', 'như', 'bọn', 'anh', 'đây', '..', 'khaaaaaa', 'khaaaa']","['kính', 'gửi', '@username', ',', 'ông', 'nên', 'học', 'cách', 'sống', 'đế vương', 'như', 'bọn', 'anh', 'đây', '..', 'khác<space>', '<space><space>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O']"
1790,"['ý', 'là', 'bạn', 'thích', 'đc', 'dí', 'lồn', 'vào', 'mặt', 'à', '?', 'vậy thì', 'cũng', 'giống', 'mình', 'sướng', 'mà', ',', 'nhờ', '<unk>']","['ý', 'là', 'bạn', 'thích', 'được<space>', 'dí', 'lồn', 'vào', 'mặt', 'à', '?', 'vậy thì', 'cũng', 'giống', 'mình', 'sướng', 'mà', ',', 'nhờ', '<unk>']","['O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1791,"['đúng', 'là', 'chỉ', 'còn', 'loi', 'kg', 'mà', 'hai văn', 'được']","['đúng', 'là', 'chỉ', 'còn', 'lỗi', 'không', 'mà', 'hai văn', 'được']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1792,['<unk>'],['<unk>'],['O']
1793,"['@username', 'mai', 'là', 'thứ', '4', 'phải', '0', 'cả', 'lớp']","['@username', 'mai', 'là', 'thứ', '4', 'phải', '0', 'cả', 'lớp']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1794,"['cái', 'nhập', 'code', 'này', 'từ', 'hqua', 'hôm kia', 'r', 'nha']","['cái', 'nhập', 'code', 'này', 'từ', 'hôm qua', 'hôm kia', 'rồi', 'nha']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1795,"['sinh viên', 'đh', 'sư phạm', 'và', 'phụ huynh', 'nên', 'bãi công', 'tẩy chay', 'mụ', 'hồng', 'hán', 'nô', ',', 'hán', 'gian', 'mang', 'chức', 'hiệu trưởng', 'này', 'đi', '.']","['sinh viên', 'đại học', 'sư phạm', 'và', 'phụ huynh', 'nên', 'bãi công', 'tẩy cha<space>', 'mụ', 'hồng', 'hán', 'nô', ',', 'hán', 'gian', 'mang', 'chức', 'hiệu trưởng', 'này', 'đi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'B-T', 'I-T', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O']"
1796,"['xe', 'chở', 'súc vật', 'mong', 'người dân', 'hãy', 'tránh', 'xa', '(', 'đề phòng', 'súc vật', 'phóng uế', 'lung tung', 'làm', 'mất', 'vệ sinh', ')', '.']","['xe', 'chở', 'súc vật', 'mong', 'người dân', 'hãy', 'tránh', 'xa', '(', 'đề phòng', 'súc vật', 'phóng uế', 'lung tung', 'làm', 'mất', 'vệ sinh', ')', '.']","['B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T']"
1797,"['@username', 'vì', 'tao', 'thấy', 'mày', 'là', 'khỉ', 'đầu', 'chó', 'lên', 'tao', 'mới', 'chửi', ',', 'nhưng', 'tao', 'đã', 'nhầm', ',', 'mày', 'là', 'xúc', 'vật', 'thì', 'sao', 'hiểu', 'tiếng', 'người', '<unk>']","['@username', 'vì', 'tao', 'thấy', 'mày', 'là', 'khỉ', 'đầu', 'chó', 'lên', 'tao', 'mới', 'chửi', ',', 'nhưng', 'tao', 'đã', 'nhầm', ',', 'mày', 'là', 'xúc', 'vật', 'thì', 'sao', 'hiểu', 'tiếng', 'người', '<unk>']","['O', 'O', 'O', 'O', 'B-T', 'O', 'B-T', 'O', 'B-T', 'I-T', 'I-T', 'O', 'B-T', 'O', 'B-T', 'O', 'B-T', 'O', 'O', 'O', 'B-T', 'O', 'B-T', 'I-T', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O']"
1798,"['chi', 'co', 'the', 'chi', 'em', 'xin', 'so', 'dien', 'cua', 'chi', 'duoc', 'khong']","['chị', 'có', 'thể', 'chị', 'em', 'xin', 'số', 'diễn<space>', 'của<space>', '<space>', 'được<space>', 'không<space>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1799,"['@tuyen', 'ta', 'chỉ', 'là', 'loại', 'nằm vùng', 'tại', 'mỹ', '&', 'tiếp tục', 'sống', 'chui', '.']","['@ tu<space>', 'ta', 'chỉ', 'là', 'loại', 'nằm vùng', 'tại', 'mỹ', '&', 'tiếp tục', 'sống', 'chui', '.']","['O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O']"
1799,"['rút', 'để', 'thủ', 'lợi', 'như', 'thời', 'vc', 'sống', 'trong', 'bưng', 'dùng', '3', '/', '/', '/', 'xỏ lá', 'để dành', 'chùi', 'rửa']","['rút', 'để', 'thủ', 'lợi', 'như', 'thời', 'việc', 'sống', 'trong', 'bưng', 'dùng', '3', '/', '<space>', '<space>', 'xỏ lá', 'để dành', 'chi', 'rửa']","['O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O']"
1800,"['@username', 'cánh', 'hoa', 'đây', 'nha']","['@username', 'cánh', 'hoa', 'đây', 'nha']","['O', 'O', 'O', 'O', 'O', 'O']"
1801,"['”', '<unk>', '<unk>', '”']","['”', '<unk>', '<unk>', '”']",['B-T']
1802,"['có', 'cl']","['có', 'cái']","['O', 'B-T']"
1803,"['<unk>', 'kính', 'gửi']","['<unk>', 'kính', 'gửi']","['O', 'O', 'O']"
1804,"['@username', 'hả dạ']","['@username', 'hả dạ']","['O', 'O', 'O', 'O', 'O']"
1805,"['rắc', 'đỉnh', 'quá', 'mà', '<unk>']","['rắ<space>', 'đỉnh', 'quá', 'mà', '<unk>']","['O', 'O', 'O', 'O']"
1806,"['đớp', 'lắm', 'lam', 'gi', 'chang', 'beo', 'nhu', 'lợn']","['đ<space>p', 'lắm', 'làm<space>', 'gì', 'chẳng<space>', 'béo<space>', 'như', 'lợn']","['B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T']"
1807,"['đâyyyy', ',', 'tóc', 'đâyyyy', '<unk>', '<unk>']","['đây<space><space>', ',', 'tóc', 'đây<space><space>', '<unk>', '<unk>']","['O', 'O', 'O', 'O']"
1808,"['lớn', 'vậy', 'rồi', 'chứ', 'không', 'phải', 'rầu', 'nha', 'đuỹ', 'ơi', '=<unk>']","['lớn', 'vậy', 'rồi', 'chứ', 'không', 'phải', 'r<space>u', 'nha', '<space><space>', 'ơi', '=<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O']"
1809,"['nhìn', '@username', 'dễ thương', 'ghê']","['nhìn', '@username', 'dễ thương', 'ghê']","['O', 'O', 'O', 'O', 'O', 'O']"
1810,['@username'],['@username'],"['O', 'O']"
1811,"['<unk>', 'mày', 'biết', 'tại sao', 'k', 'thằng', 'ngu', 'vì', 'đứng', 'đấy', 'ngăn ngừa', 'phòng chống', 'hiệu quả', 'nhất', 'cái', 'loại', 'ngu dốt', 'như', 'mày', 'nên', 'học', 'lại', 'đi', 'đã', 'k', 'hiểu', 'ý', 'người', 'khác', 'đã', 'vào', 'cmt', 'người', 'ta', 'chửi', 'cho', 'nhục', 'mặt', 'lắm', 'thân', '^', '^', 'còn', 'tao', 'chưa', 'nói', 'gì', 'là', 'văn hoá', 'hay', 'k', 'văn hoá', 'tao', 'đang', 'muốn', 'nói', 'ý thức', 'của', 'các', 'ông', 'say', 'rượu', 'khi', 'tham gia', 'giao thông']","['<unk>', 'mày', 'biết', 'tại sao', 'không', 'thằng', 'ngu', 'vì', 'đứng', 'đấy', 'ngăn ngăn', 'phòng chống', 'hiệu quả', 'nhất', 'cái', 'loại', 'ngu dốt', 'như', 'mày', 'nên', 'học', 'lại', 'đi', 'đã', 'không', 'hiểu', 'ý', 'người', 'khác', 'đã', 'vào', 'cmt', 'người', 'ta', 'chửi', 'cho', 'nhục', 'mặt', 'lắm', 'thân', '^', '^', 'còn', 'tao', 'chưa', 'nói', 'gì', 'là', 'văn hoá', 'hay', 'không', 'văn hoá', 'tao', 'đang', 'muốn', 'nói', 'ý thức', 'của', 'các', 'ông', 'say', 'rượu', 'khi', 'tham gia', 'giao thông']","['O', 'B-T', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1812,"['giờ', 'mới', 'biết', 'con mẹ', 'giựt', 'nợ', '@username']","['giờ', 'mới', 'biết', 'con mẹ', 'giật<space><space>', 'nợ', '@username']","['O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O']"
1813,"['@username', 'xin', 'video', 'ông', '<unk>']","['@username', 'xin', 'video', 'ông', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O']"
1814,"['@usernameg', 'hơi', 'lâu', 'hmm']","['@uerna<space>', 'hơi', 'lâu', 'hmm']","['O', 'O', 'O', 'O', 'O', 'O']"
1815,"['em', 'tui', 'nó', 'cũngg', 'đú', 'theo', 'cháuu', 'theoo', 'cháuu', 'ôngg', '<unk>']","['em', 'tui', 'nó', 'cũng<space>', 'đú', 'theo', 'cháuu', 'theo<space>', 'cháu<space>', 'ông<space>', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1816,"['quảng cáo', 'cc']","['quảng cáo', 'cc']","['O', 'O', 'B-T']"
1817,"['hợp lý', 'vl', 'a', 'ơi', ',', 'ngta', 'nói', 'ước mơ', 'ko', 'đánh', 'thuế', ',', 'nhưng', 'đéo', 'đủ', 'tiền', 'đóng', 'thuế', 'thì', 'mơ', 'mơ', 'cc']","['hợp lý', 'vl', 'anh', 'ơi', ',', 'người ta', 'nói', 'ước mơ', 'không', 'đánh', 'thuế', ',', 'nhưng', 'đéo', 'đủ', 'tiền', 'đóng', 'thuế', 'thì', 'mơ', 'mơ', 'cc']","['O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T']"
1818,"['thứ', 'ko', 'nhân cách', ',', 'tiền', 'nhìu', 'cko', 'ngta', 'là', 'cai', 'nghiệp', 'kiep', 'truoc', 'thiếu', 'ngta', 'h', 'trả', 'chứ', 'méo', 'đc', 'miếng', 'đức', 'nào', 'đâu', 'mà', 'hô hào', ',', 'chị', 'ba', '!']","['thứ', 'không', 'nhân cách', ',', 'tiền', 'nhiều<space><space>', 'nha<space>', 'người ta', 'là', 'cái', 'nghiệp', 'ki<space>', 'trước<space>', 'thiếu', 'người ta', 'giờ', 'trả', 'chứ', 'méo', 'được<space>', 'miếng', 'đức', 'nào', 'đâu', 'mà', 'hô hào', ',', 'chị', 'ba', '!']","['B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T']"
1818,"['chị', 'ba', 'phi']","['chị', 'bà', 'phi']","['B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T']"
1819,"['tôi', 'chẳng', 'hiểu', 'gì', 'cả', '.!!!', 'có lẽ', 'đó', 'là', 'câu', '...', 'nói', 'thật', 'đầu tiên', 'trong', 'cuộc đời', 'của', 'chúng', '.!!!']","['tôi', 'chẳng', 'hiểu', 'gì', 'cả', '.)))', 'có lẽ', 'đó', 'là', 'câu', '...', 'nói', 'thật', 'đầu tiên', 'trong', 'cuộc đời', 'của', 'chúng', '.?!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O']"
1820,"['@username', 'ngại', 'quá', '@username', 'chốn', 'đây']","['@username', 'ngại', 'quá', '@username', 'chốn', 'đây']","['O', 'O', 'O', 'O', 'O', 'O']"
1821,"['chac', 'chan', 'coronaviruswuhan', 'qua', 'di', 'thi', 'the gioi', 'se', 'khong', 'de', 'yen', '@username', '.']","['chắc<space>', 'chân', 'coronavirusw<space>', 'qua', 'đi', 'thì', 'thế giới<space><space>', 'sẽ', 'không<space>', 'để', 'yên', '@username', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O']"
1822,"['đúng', 'r']","['đúng', 'rồi']","['O', 'O']"
